"model","checkpoint","pipeline","dataset","protocol","shots","seed","accuracy","macro_f1"
"phyd_best_ckpt300","runs/sarjepa_official_phyd_ft250_bs1024_lfst0p1_image_2xh200/checkpoint-300.pth","strict_official_downstream","MSTAR_SOC","finetune","20","8","81.6","80.1"
"phyd_best_ckpt300","runs/sarjepa_official_phyd_ft250_bs1024_lfst0p1_image_2xh200/checkpoint-300.pth","strict_official_downstream","MSTAR_SOC","finetune","20","10","87","86.3"
"phyd_best_ckpt300","runs/sarjepa_official_phyd_ft250_bs1024_lfst0p1_image_2xh200/checkpoint-300.pth","strict_official_downstream","MSTAR_SOC","finetune","20","12","79.6","78.5"
"phyd_best_ckpt300","runs/sarjepa_official_phyd_ft250_bs1024_lfst0p1_image_2xh200/checkpoint-300.pth","strict_official_downstream","MSTAR_SOC","finetune","20","13","83.5","81.9"
"phyd_best_ckpt300","runs/sarjepa_official_phyd_ft250_bs1024_lfst0p1_image_2xh200/checkpoint-300.pth","strict_official_downstream","MSTAR_SOC","finetune","20","14","78.4","76.9"
"phyd_best_ckpt300","runs/sarjepa_official_phyd_ft250_bs1024_lfst0p1_image_2xh200/checkpoint-300.pth","strict_official_downstream","MSTAR_SOC","finetune","20","15","82.5","80.2"
"phyd_best_ckpt300","runs/sarjepa_official_phyd_ft250_bs1024_lfst0p1_image_2xh200/checkpoint-300.pth","strict_official_downstream","MSTAR_SOC","finetune","20","16","82.8","81.6"
"phyd_best_ckpt300","runs/sarjepa_official_phyd_ft250_bs1024_lfst0p1_image_2xh200/checkpoint-300.pth","strict_official_downstream","MSTAR_SOC","finetune","20","17","86.4","85.1"
"phyd_best_ckpt300","runs/sarjepa_official_phyd_ft250_bs1024_lfst0p1_image_2xh200/checkpoint-300.pth","strict_official_downstream","MSTAR_SOC","finetune","20","18","82.2","80.6"
"phyd_best_ckpt300","runs/sarjepa_official_phyd_ft250_bs1024_lfst0p1_image_2xh200/checkpoint-300.pth","strict_official_downstream","MSTAR_SOC","finetune","20","19","83.7","83.2"
