"model","checkpoint","pipeline","dataset","protocol","shots","seed","accuracy","macro_f1"
"phyd_warmstart_ckpt299","runs/sarjepa_official_phyd_warmstart_bestckpt300_bs1088_lfst0p1_image_20260709_174032/checkpoint-299.pth","strict_official_downstream","MSTAR_SOC","finetune","20","4","78.4","76.4"
"phyd_warmstart_ckpt299","runs/sarjepa_official_phyd_warmstart_bestckpt300_bs1088_lfst0p1_image_20260709_174032/checkpoint-299.pth","strict_official_downstream","MSTAR_SOC","finetune","20","5","77.5","75.6"
"phyd_warmstart_ckpt299","runs/sarjepa_official_phyd_warmstart_bestckpt300_bs1088_lfst0p1_image_20260709_174032/checkpoint-299.pth","strict_official_downstream","MSTAR_SOC","finetune","20","6","74.2","71.8"
"phyd_warmstart_ckpt299","runs/sarjepa_official_phyd_warmstart_bestckpt300_bs1088_lfst0p1_image_20260709_174032/checkpoint-299.pth","strict_official_downstream","MSTAR_SOC","finetune","20","7","78.6","76.9"
"phyd_warmstart_ckpt299","runs/sarjepa_official_phyd_warmstart_bestckpt300_bs1088_lfst0p1_image_20260709_174032/checkpoint-299.pth","strict_official_downstream","MSTAR_SOC","finetune","20","8","76.2","74.2"
"phyd_warmstart_ckpt299","runs/sarjepa_official_phyd_warmstart_bestckpt300_bs1088_lfst0p1_image_20260709_174032/checkpoint-299.pth","strict_official_downstream","MSTAR_SOC","finetune","20","9","73.6","69.9"
"phyd_warmstart_ckpt299","runs/sarjepa_official_phyd_warmstart_bestckpt300_bs1088_lfst0p1_image_20260709_174032/checkpoint-299.pth","strict_official_downstream","MSTAR_SOC","finetune","20","10","80.2","78.9"
"phyd_warmstart_ckpt299","runs/sarjepa_official_phyd_warmstart_bestckpt300_bs1088_lfst0p1_image_20260709_174032/checkpoint-299.pth","strict_official_downstream","MSTAR_SOC","finetune","20","11","77","75.4"
"phyd_warmstart_ckpt299","runs/sarjepa_official_phyd_warmstart_bestckpt300_bs1088_lfst0p1_image_20260709_174032/checkpoint-299.pth","strict_official_downstream","MSTAR_SOC","finetune","20","12","77","74.9"
"phyd_warmstart_ckpt299","runs/sarjepa_official_phyd_warmstart_bestckpt300_bs1088_lfst0p1_image_20260709_174032/checkpoint-299.pth","strict_official_downstream","MSTAR_SOC","finetune","20","13","75.8","74.2"
"phyd_warmstart_ckpt299","runs/sarjepa_official_phyd_warmstart_bestckpt300_bs1088_lfst0p1_image_20260709_174032/checkpoint-299.pth","strict_official_downstream","MSTAR_SOC","finetune","20","14","78.5","74.9"
"phyd_warmstart_ckpt299","runs/sarjepa_official_phyd_warmstart_bestckpt300_bs1088_lfst0p1_image_20260709_174032/checkpoint-299.pth","strict_official_downstream","MSTAR_SOC","finetune","20","15","80.7","78.7"
"phyd_warmstart_ckpt299","runs/sarjepa_official_phyd_warmstart_bestckpt300_bs1088_lfst0p1_image_20260709_174032/checkpoint-299.pth","strict_official_downstream","MSTAR_SOC","finetune","20","16","77.7","75.4"
"phyd_warmstart_ckpt299","runs/sarjepa_official_phyd_warmstart_bestckpt300_bs1088_lfst0p1_image_20260709_174032/checkpoint-299.pth","strict_official_downstream","MSTAR_SOC","finetune","20","17","77.9","75.7"
"phyd_warmstart_ckpt299","runs/sarjepa_official_phyd_warmstart_bestckpt300_bs1088_lfst0p1_image_20260709_174032/checkpoint-299.pth","strict_official_downstream","MSTAR_SOC","finetune","20","18","76.9","74.7"
"phyd_warmstart_ckpt299","runs/sarjepa_official_phyd_warmstart_bestckpt300_bs1088_lfst0p1_image_20260709_174032/checkpoint-299.pth","strict_official_downstream","MSTAR_SOC","finetune","20","19","79.3","77.6"
"phyd_warmstart_ckpt299","runs/sarjepa_official_phyd_warmstart_bestckpt300_bs1088_lfst0p1_image_20260709_174032/checkpoint-299.pth","strict_official_downstream","MSTAR_SOC","finetune","40","0","87.3","85.9"
