model_id,checkpoint,dataset,protocol,shot,seed,accuracy,macro_f1,status,source_output
phyd_sfafm7_ckpt20,runs/phyd_sfafm7_every2end_from_best300_g1_lfst0p1_image_bs768_300e_2xh200/checkpoint-20.pth,SAR_ACD,finetune,10,4,57.60,,confirmed_5_seeds,few_shot_classification/finetune/output_phyd_sfafm7_ckpt20_fusar_saracd_finetune_5seeds
phyd_sfafm7_ckpt20,runs/phyd_sfafm7_every2end_from_best300_g1_lfst0p1_image_bs768_300e_2xh200/checkpoint-20.pth,SAR_ACD,finetune,20,0,59.70,,confirmed_5_seeds,few_shot_classification/finetune/output_phyd_sfafm7_ckpt20_fusar_saracd_finetune_5seeds
phyd_sfafm7_ckpt20,runs/phyd_sfafm7_every2end_from_best300_g1_lfst0p1_image_bs768_300e_2xh200/checkpoint-20.pth,SAR_ACD,finetune,20,1,61.90,,confirmed_5_seeds,few_shot_classification/finetune/output_phyd_sfafm7_ckpt20_fusar_saracd_finetune_5seeds
phyd_sfafm7_ckpt20,runs/phyd_sfafm7_every2end_from_best300_g1_lfst0p1_image_bs768_300e_2xh200/checkpoint-20.pth,SAR_ACD,finetune,20,2,60.00,,confirmed_5_seeds,few_shot_classification/finetune/output_phyd_sfafm7_ckpt20_fusar_saracd_finetune_5seeds
phyd_sfafm7_ckpt20,runs/phyd_sfafm7_every2end_from_best300_g1_lfst0p1_image_bs768_300e_2xh200/checkpoint-20.pth,SAR_ACD,finetune,20,3,57.80,,confirmed_5_seeds,few_shot_classification/finetune/output_phyd_sfafm7_ckpt20_fusar_saracd_finetune_5seeds
phyd_sfafm7_ckpt20,runs/phyd_sfafm7_every2end_from_best300_g1_lfst0p1_image_bs768_300e_2xh200/checkpoint-20.pth,SAR_ACD,finetune,20,4,62.40,,confirmed_5_seeds,few_shot_classification/finetune/output_phyd_sfafm7_ckpt20_fusar_saracd_finetune_5seeds
phyd_sfafm7_ckpt20,runs/phyd_sfafm7_every2end_from_best300_g1_lfst0p1_image_bs768_300e_2xh200/checkpoint-20.pth,SAR_ACD,finetune,40,0,76.00,,confirmed_5_seeds,few_shot_classification/finetune/output_phyd_sfafm7_ckpt20_fusar_saracd_finetune_5seeds
phyd_sfafm7_ckpt20,runs/phyd_sfafm7_every2end_from_best300_g1_lfst0p1_image_bs768_300e_2xh200/checkpoint-20.pth,SAR_ACD,finetune,40,1,67.30,,confirmed_5_seeds,few_shot_classification/finetune/output_phyd_sfafm7_ckpt20_fusar_saracd_finetune_5seeds
phyd_sfafm7_ckpt20,runs/phyd_sfafm7_every2end_from_best300_g1_lfst0p1_image_bs768_300e_2xh200/checkpoint-20.pth,SAR_ACD,finetune,40,2,70.40,,confirmed_5_seeds,few_shot_classification/finetune/output_phyd_sfafm7_ckpt20_fusar_saracd_finetune_5seeds
phyd_sfafm7_ckpt20,runs/phyd_sfafm7_every2end_from_best300_g1_lfst0p1_image_bs768_300e_2xh200/checkpoint-20.pth,SAR_ACD,finetune,40,3,69.90,,confirmed_5_seeds,few_shot_classification/finetune/output_phyd_sfafm7_ckpt20_fusar_saracd_finetune_5seeds
phyd_sfafm7_ckpt20,runs/phyd_sfafm7_every2end_from_best300_g1_lfst0p1_image_bs768_300e_2xh200/checkpoint-20.pth,SAR_ACD,finetune,40,4,73.20,73.10,confirmed_5_seeds,few_shot_classification/finetune/output_phyd_sfafm7_ckpt20_fusar_saracd_finetune_5seeds
